	X	Y	Yfit
840	987.928	27	0.03634
841	988.857	26	0.036139
842	989.786	26.5	0.0359397
843	990.715	27.5	0.0357422
844	991.644	29	0.0355464
845	992.572	25	0.0353524
846	993.501	29.5	0.0351599
847	994.428	29	0.0349695
848	995.355	28	0.0347807
849	996.283	29.5	0.0345932
850	997.21	28	0.0344075
851	998.137	23.5	0.0342234
852	999.064	25	0.0340409
853	999.991	27	0.0338598
854	1000.92	28.5	0.0336799
855	1001.84	29	0.0335032
856	1002.77	24.5	0.033326
857	1003.69	33	0.0331522
858	1004.62	32.5	0.0329779
859	1005.54	27.5	0.032807
860	1006.47	26	0.0326355
861	1007.39	27.5	0.0324673
862	1008.32	31.5	0.0322986
863	1009.24	31.5	0.0321331
864	1010.16	32	0.031969
865	1011.09	25	0.0318043
866	1012.01	28	0.0316427
867	1012.93	31	0.0314825
868	1013.86	29.5	0.0313217
869	1014.78	29	0.031164
870	1015.7	24.5	0.0310075
871	1016.62	29	0.0308522
872	1017.54	31.5	0.0306981
873	1018.47	31	0.0305436
874	1019.39	28.5	0.0303919
875	1020.31	22.5	0.0302415
876	1021.23	28	0.0300921
877	1022.15	27.5	0.029944
878	1023.07	28	0.0297969
879	1023.99	27	0.029651
880	1024.91	26	0.0295062
881	1025.83	29	0.0293625
882	1026.75	29.5	0.0292199
883	1027.66	29.5	0.0290799
884	1028.58	29	0.0289395
885	1029.5	23.5	0.0288001
886	1030.42	30	0.0286617
887	1031.34	29.5	0.0285244
888	1032.26	27.5	0.0283881
889	1033.17	28	0.0282543
890	1034.09	25	0.02812
891	1035.01	31.5	0.0279867
892	1035.92	28	0.0278558
893	1036.84	29	0.0277245
894	1037.76	29.5	0.0275941
895	1038.67	29.5	0.0274661
896	1039.59	30	0.0273376
897	1040.5	32	0.0272115
898	1041.42	26.5	0.0270848
899	1042.33	31	0.0269605
900	1043.25	31.5	0.0268357
901	1044.16	27	0.0267131
902	1045.07	31	0.0265914
903	1045.99	27	0.0264693
904	1046.9	31	0.0263493
905	1047.82	28.5	0.0262289
906	1048.73	27.5	0.0261106
907	1049.64	27	0.0259932
908	1050.55	27	0.0258766
909	1051.47	26	0.0257595
910	1052.38	26.5	0.0256445
911	1053.29	26	0.0255303
912	1054.2	29	0.0254169
913	1055.11	27	0.0253043
914	1056.02	26.5	0.0251925
915	1056.93	30	0.0250814
916	1057.84	28	0.0249711
917	1058.75	29	0.0248616
918	1059.66	29	0.0247528
919	1060.57	27.5	0.0246447
920	1061.48	27	0.0245374
921	1062.39	24.5	0.0244308
922	1063.3	26	0.024325
923	1064.21	24.5	0.0242198
924	1065.12	27.5	0.0241154
